UID,ID,DATE,DAY,KG,LBS,BCS,FLWT,GRFL
22SH01420,T7189,2022-02-10,41,98.5,217,4.5,120,12.0
22SH01421,T7215,2022-02-10,41,95.0,209,4.5,110,11.0
22SH01422,T7226,2022-02-11,42,113.5,250,4.0,130,13.0
22SH01423,T7234,2022-02-10,41,91.5,201,4.0,100,10.0
22SH01424,T7239,2022-02-10,41,105.5,232,5.0,130,13.0
22SH01425,T7255,2022-02-10,41,80.0,176,4.0,100,10.0
22SH01426,T7257,2022-02-10,41,100.0,220,4.5,90,9.0
22SH01427,T7258,2022-02-11,42,112.0,246,5.0,120,12.0
22SH01428,T7266,2022-02-10,41,88.0,194,4.5,90,9.0
22SH01429,T7277,2022-02-10,41,98.0,216,5.0,110,11.0
22SH01430,T7279,2022-02-10,41,94.5,208,4.0,100,10.0
22SH01431,T7280,2022-02-11,42,117.0,257,4.5,150,15.0
