UID,ETAG,DATE,KG,LBS,FLWT,GRFL,GRADE
21SH00361,K5247,2021-02-10,115,253,80,8.0,A
21SH00362,K5248,2021-02-10,89,195,100,10.0,A
21SH00363,K5249,2021-02-10,100,220,130,13.0,A
21SH00364,K5250,2021-02-10,96,211,110,11.0,A4
21SH00365,K5251,2021-02-10,94,206,120,12.0,A
21SH00366,K5252,2021-02-10,81,177,100,10.0,A
21SH00367,K5253,2021-02-10,87,190,100,10.0,A
21SH00368,K5256,2021-02-10,75,165,80,8.0,A2
21SH00369,K5259,2021-02-10,102,224,90,9.0,A2
21SH00370,K5260,2021-02-10,85,187,80,8.0,A
21SH00371,K5261,2021-02-10,80,175,80,8.0,A
21SH00372,K5262,2021-02-10,90,198,100,10.0,A
21SH00373,K5263,2021-02-10,96,210,110,11.0,A
21SH00374,K5265,2021-02-10,97,212,120,12.0,AA
21SH00375,K5266,2021-02-10,88,194,110,11.0,A
21SH00376,K5267,2021-02-10,81,178,100,10.0,A
21SH00377,K5268,2021-02-11,104,229,90,9.0,AA
21SH00378,K5269,2021-02-11,108,238,110,11.0,A
21SH00379,K5270,2021-02-11,89,195,100,10.0,A
21SH00380,K5271,2021-02-11,101,221,150,15.0,A
21SH00381,K5274,2021-02-11,89,196,150,15.0,A
21SH00382,K5275,2021-02-11,101,221,110,11.0,A
21SH00383,K5278,2021-02-11,85,186,110,11.0,A
21SH00384,K5279,2021-02-11,101,222,170,17.0,A
21SH00385,K5284,2021-02-11,72,157,100,10.0,A
21SH00386,K5288,2021-02-11,105,231,140,14.0,A
21SH00387,K5293,2021-02-11,101,221,120,12.0,A
21SH00388,K5298,2021-02-11,72,157,80,8.0,A
21SH00389,K5299,2021-02-11,95,209,110,11.0,A
21SH00390,K5301,2021-02-11,90,198,120,12.0,A
21SH00391,K5305,2021-02-11,92,201,120,12.0,A
21SH00392,K5307,2021-02-11,73,161,90,9.0,A
21SH00393,K5309,2021-02-11,88,193,100,10.0,A
21SH00394,K5314,2021-02-11,105,231,110,11.0,AA
21SH00395,K5319,2021-02-11,105,230,110,11.0,A
21SH00396,K5320,2021-02-11,109,240,100,10.0,AA
