UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,SBRD,DAM,DBRD,RGRP,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,STUDYTRT,IDZ65,CLR,ALTID,INBRL,CULLPILE,YRREC
10IN03084,2009055033,H5033,05,H5033,09,2,,1,30,51,H3215,05,H2892,05,,,,1,,D,,108,141,1,,,,,73,2,1.0,,,,0,1,,0.08,,2010
10IN03085,2009054715,H4715,05,H4715,09,2,,1,30,51,H3215,05,H3343,05,,,,1,,D,,91,139,1,,,,,67,2,1.0,,,,0,1,,0.072,,2010
10IN03086,2009055173,H5173,05,H5173,09,2,,1,30,49,H2171,05,H3374,05,,,,1,,2,,110,155,2,,,,,68,2,1.0,,,,0,1,,0.046,,2010
10IN03087,2009054838,H4838,05,H4838,09,2,,1,30,50,H2789,05,H1585,05,,,,1,,2,,105,145,2,,,,,52,2,1.0,,,,0,1,,0.037,,2010
10IN03088,2009055239,H5239,05,H5239,09,2,,1,30,62,H3669,05,H3313,05,,,,1,,2,,105,138,2,,,,,57,2,1.0,,,,0,1,,0.083,,2010
10IN03089,2009054776,H4776,05,H4776,09,2,,1,30,62,H3669,05,H3514,05,,,,1,,H,,128,121,2,,,,,55,2,1.0,,,,0,1,,0.058,,2010
10IN03090,2009054759,H4759,05,H4759,09,2,,1,30,e22,H3126,05,H3747,05,,,,1,,1,,98,130,2,,,,,67,2,1.0,,,,0,1,,0.064,,2010
10IN03091,2009055103,H5103,05,H5103,09,2,,1,30,e22,H3126,05,H4317,05,,,,1,,1,,110,137,2,,,,,66,2,1.0,,,,0,1,,0.066,,2010
10IN03092,2009055317,H5317,05,H5317,09,2,,1,30,49,H2171,05,H1778,05,,,,1,,2,,87,131,2,,,,,66,2,1.0,,,,0,1,,0.039,,2010
10IN03093,2009055476,H5476,05,H5476,09,2,,1,30,54,H3693,05,H0960,05,,,,1,,1,,89,117,2,,,,,54,2,1.0,,,,0,1,,0.053,,2010
10IN03094,2009054591,H4591,05,H4591,09,2,,1,30,52,H3271,05,H3499,05,,,,1,,2,,104,134,2,,,,,66,2,1.0,,,,0,1,,0.049,,2010
10IN03095,2009055313,H5313,05,H5313,09,2,,1,30,49,H2171,05,H2317,05,,,,1,,D,,120,168,1,,,,,67,2,1.0,,,,0,1,,0.046,,2010
10IN03096,2009054824,H4824,05,H4824,09,2,,1,30,61,H3144,05,H3160,05,,,,1,,2,,87,128,2,,,,,65,2,1.0,,,,0,1,,0.07,,2010
10IN03097,2009055338,H5338,05,H5338,09,2,,1,30,53,H3424,05,H2067,05,,,,6,,,,0,,,,01,0302,,,,1.0,Neckinfection,,,0,1,,0.036,,2010
10IN03098,2009055486,H5486,05,H5486,09,2,,1,30,e19,H3039,05,H4196,05,,,,6,,2,,93,,,,01,0525,,,,1.0,,,,0,1,,0.051,,2010
